video_id,project,tester_name,narration_quality,recording_quality,coaching_evidence
allenabegum123_bupa,web-health-information-bupa,allenabegum123,sparse,poor,none
chiomaenenmoh_bupa,web-health-information-bupa,chiomaenenmoh,rich,good,none
daniellepaigejones07_bupa,web-health-information-bupa,daniellepaigejones07,rich,acceptable,none
dsouza_annabelle_bupa,web-health-information-bupa,dsouza_annabelle,rich,good,none
deanmills1987_bupa,web-health-information-bupa,deanmills1987,rich,acceptable,none
gameoverdan_bupa,web-health-information-bupa,gameoverdan,rich,good,none
ghum_bupa,web-health-information-bupa,ghum,rich,acceptable,none
giuliaclemente26_bupa,web-health-information-bupa,giuliaclemente26,rich,acceptable,none
gracieha22_bupa,web-health-information-bupa,gracieha22,rich,acceptable,none
iakhtar1_bupa,web-health-information-bupa,iakhtar1,rich,good,none
jadesharp92_bupa,web-health-information-bupa,jadesharp92,rich,acceptable,none
laurenrosemetzler_bupa,web-health-information-bupa,laurenrosemetzler,rich,good,none
lindarcole_bupa,web-health-information-bupa,lindarcole,rich,acceptable,none
lydia_2222_bupa,web-health-information-bupa,lydia_2222,rich,acceptable,none
manyi_tan_bupa,web-health-information-bupa,manyi_tan,adequate,acceptable,none
matthew_mayston_bupa,web-health-information-bupa,matthew_mayston,rich,acceptable,none
margieflint_bupa,web-health-information-bupa,margieflint,rich,good,none
ripabegum_bupa,web-health-information-bupa,ripabegum,rich,acceptable,none
olekwane_bupa,web-health-information-bupa,olekwane,rich,acceptable,none
sharelinsonny_bupa,web-health-information-bupa,sharelinsonny,rich,acceptable,none
terryaflint17_bupa,web-health-information-bupa,terryaflint17,rich,acceptable,none
