window_id,flag,output_json,input_tokens,output_tokens,latency_ms,error,findings_dropped,timestamp_utc
chiomaenenmoh__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""good"",""coaching_evidence"":""none""}",14373,42,4105,,0,2026-05-19T03:15:17.814367Z
allenabegum123__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""acceptable"",""coaching_evidence"":""none""}",18562,42,4358,,0,2026-05-19T03:15:18.065653Z
daniellepaigejones07__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""good"",""coaching_evidence"":""none""}",14712,42,3665,,0,2026-05-19T03:15:21.479973Z
deanmills1987__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""acceptable"",""coaching_evidence"":""none""}",13563,42,3931,,0,2026-05-19T03:15:21.996417Z
dsouza_annabelle__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""good"",""coaching_evidence"":""none""}",10332,42,3995,,0,2026-05-19T03:15:25.475968Z
gameoverdan__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""good"",""coaching_evidence"":""none""}",13412,42,3980,,0,2026-05-19T03:15:25.977311Z
giuliaclemente26__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""acceptable"",""coaching_evidence"":""none""}",5193,42,3113,,0,2026-05-19T03:15:29.091209Z
ghum__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""acceptable"",""coaching_evidence"":""none""}",24855,42,4331,,0,2026-05-19T03:15:29.806795Z
gracieha22__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""acceptable"",""coaching_evidence"":""none""}",5229,42,3220,,0,2026-05-19T03:15:32.311773Z
iakhtar1__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""acceptable"",""coaching_evidence"":""none""}",24187,42,3983,,0,2026-05-19T03:15:33.791593Z
jadesharp92__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""good"",""coaching_evidence"":""none""}",7784,42,4167,,0,2026-05-19T03:15:36.478693Z
laurenrosemetzler__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""good"",""coaching_evidence"":""none""}",10945,42,3362,,0,2026-05-19T03:15:37.154344Z
lindarcole__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""good"",""coaching_evidence"":""none""}",7052,42,3428,,0,2026-05-19T03:15:39.915165Z
lydia_2222__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""acceptable"",""coaching_evidence"":""none""}",8651,42,3478,,0,2026-05-19T03:15:40.632471Z
manyi_tan__web-health-information-bupa,ok,"{""narration_quality"":""adequate"",""recording_quality"":""acceptable"",""coaching_evidence"":""none""}",1269,42,2957,,0,2026-05-19T03:15:42.865812Z
margieflint__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""good"",""coaching_evidence"":""none""}",14514,42,3604,,0,2026-05-19T03:15:44.237998Z
matthew_mayston__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""acceptable"",""coaching_evidence"":""none""}",6544,42,3380,,0,2026-05-19T03:15:46.246915Z
olekwane__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""good"",""coaching_evidence"":""none""}",18432,42,3896,,0,2026-05-19T03:15:48.134433Z
ripabegum__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""acceptable"",""coaching_evidence"":""none""}",4950,42,3083,,0,2026-05-19T03:15:49.328380Z
sharelinsonny__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""acceptable"",""coaching_evidence"":""none""}",10923,42,3496,,0,2026-05-19T03:15:51.625947Z
terryaflint17__web-health-information-bupa,ok,"{""narration_quality"":""rich"",""recording_quality"":""acceptable"",""coaching_evidence"":""none""}",10745,42,3387,,0,2026-05-19T03:15:52.713272Z
