window_id,video_id,video_filename,start_time,end_time,duration,silence_ratio,narration_density,avg_silence_duration,words_per_minute,avg_confidence
ghum_wa_w000,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,2.64,70.489,67.849,0.0132,0.9868,0.224,129.99,0.9572
ghum_wa_w001,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,71.51,139.649,68.139,0.0,1.0,0.0,154.1,0.9895
ghum_wa_w002,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,141.25,219.509,78.259,0.0221,0.9779,0.1728,151.04,0.9097
ghum_wa_w003,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,220.44,295.91,75.47,0.0098,0.9902,0.1051,173.31,0.9249
ghum_wa_w004,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,296.88,365.649,68.769,0.0051,0.9949,0.088,228.59,0.9317
ghum_wa_w005,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,366.029,444.899,78.87,0.0398,0.9602,0.1493,241.92,0.9387
ghum_wa_w006,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,445.13,512.039,66.909,0.0743,0.9257,0.2594,218.8,0.957
ghum_wa_w007,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,512.869,576.82,63.951,0.012,0.988,0.128,282.4,0.9741
ghum_wa_w008,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,577.9,638.52,60.62,0.0666,0.9334,0.2122,202.9,0.972
ghum_wa_w009,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,640.14,710.94,70.8,0.0158,0.9842,0.1867,318.64,0.9699
ghum_wa_w010,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,711.95,772.109,60.159,0.0245,0.9755,0.1472,283.25,0.9653
ghum_wa_w011,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,773.69,838.979,65.289,0.0363,0.9637,0.296,131.42,0.9805
ghum_wa_w012,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,839.7,910.89,71.19,0.0329,0.9671,0.1557,208.18,0.9531
ghum_wa_w013,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,911.39,998.929,87.539,0.0355,0.9645,0.2587,235.78,0.9605
ghum_wa_w014,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,999.299,1085.78,86.481,0.0515,0.9485,0.1711,258.09,0.9795
ghum_wa_w015,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1086.319,1158.01,71.691,0.0876,0.9124,0.2509,193.33,0.9445
ghum_wa_w016,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1158.56,1235.06,76.5,0.039,0.961,0.2289,228.24,0.9583
ghum_wa_w017,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1236.579,1306.369,69.79,0.028,0.972,0.1502,172.8,0.9593
ghum_wa_w018,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1306.67,1388.099,81.429,0.0327,0.9673,0.1771,306.52,0.9639
ghum_wa_w019,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1388.42,1453.8,65.38,0.0235,0.9765,0.128,256.96,0.963
ghum_wa_w020,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1454.38,1514.53,60.15,0.1333,0.8667,0.2051,222.44,0.9503
ghum_wa_w021,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1515.319,1584.56,69.241,0.05,0.95,0.1728,337.95,0.9461
ghum_wa_w022,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1584.569,1645.819,61.25,0.0157,0.9843,0.192,332.08,0.9858
ghum_wa_w023,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1646.42,1713.9,67.48,0.0361,0.9639,0.1737,281.86,0.9703
ghum_wa_w024,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1714.76,1777.939,63.179,0.037,0.963,0.3337,245.02,0.9806
ghum_wa_w025,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1779.4,1841.089,61.689,0.0473,0.9527,0.208,248.99,0.9534
ghum_wa_w026,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1842.28,1915.39,73.11,0.0311,0.9689,0.142,173.98,0.9648
ghum_wa_w027,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1915.989,1980.4,64.411,0.0398,0.9602,0.1422,254.3,0.9581
ghum_wa_w028,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,1981.3,2042.39,61.09,0.0682,0.9318,0.2311,186.61,0.9449
ghum_wa_w029,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,2043.0,2103.35,60.35,0.0138,0.9862,0.1189,142.17,0.932
ghum_wa_w030,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,2104.469,2171.979,67.51,0.0157,0.9843,0.176,145.76,0.9373
