window_id,video_id,video_filename,tester_name,project,start_time,end_time,silence_ratio,narration_density,words_per_minute,avg_silence_duration,avg_confidence,unique_words_ratio,avg_sentence_length
ghum_wa_w000,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,2.64,70.489,0.0132,0.9868,129.99,0.224,0.9572,0.782312925170068,21.0
ghum_wa_w001,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,71.51,139.649,0.0,1.0,154.1,0.0,0.9895,0.64,25.0
ghum_wa_w002,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,141.25,219.509,0.0221,0.9779,151.04,0.1728,0.9097,0.6802030456852792,10.944444444444445
ghum_wa_w003,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,220.44,295.91,0.0098,0.9902,173.31,0.1051,0.9249,0.6284403669724771,8.384615384615385
ghum_wa_w004,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,296.88,365.649,0.0051,0.9949,228.59,0.088,0.9317,0.5687022900763359,9.357142857142858
ghum_wa_w005,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,366.029,444.899,0.0398,0.9602,241.92,0.1493,0.9387,0.5220125786163522,8.833333333333334
ghum_wa_w006,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,445.13,512.039,0.0743,0.9257,218.8,0.2594,0.957,0.5409836065573771,9.76
ghum_wa_w007,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,512.869,576.82,0.012,0.988,282.4,0.128,0.9741,0.6079734219269103,10.379310344827585
ghum_wa_w008,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,577.9,638.52,0.0666,0.9334,202.9,0.2122,0.972,0.6926829268292682,11.38888888888889
ghum_wa_w009,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,640.14,710.94,0.0158,0.9842,318.64,0.1867,0.9699,0.5531914893617021,15.04
ghum_wa_w010,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,711.95,772.109,0.0245,0.9755,283.25,0.1472,0.9653,0.5598591549295775,11.36
ghum_wa_w011,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,773.69,838.979,0.0363,0.9637,131.42,0.296,0.9805,0.6223776223776224,28.6
ghum_wa_w012,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,839.7,910.89,0.0329,0.9671,208.18,0.1557,0.9531,0.631578947368421,13.722222222222221
ghum_wa_w013,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,911.39,998.929,0.0355,0.9645,235.78,0.2587,0.9605,0.5203488372093024,14.333333333333334
ghum_wa_w014,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,999.299,1085.78,0.0515,0.9485,258.09,0.1711,0.9795,0.5618279569892473,11.625
ghum_wa_w015,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1086.319,1158.01,0.0876,0.9124,193.33,0.2509,0.9445,0.48484848484848486,7.451612903225806
ghum_wa_w016,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1158.56,1235.06,0.039,0.961,228.24,0.2289,0.9583,0.5979381443298969,11.64
ghum_wa_w017,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1236.579,1306.369,0.028,0.972,172.8,0.1502,0.9593,0.6368159203980099,14.357142857142858
ghum_wa_w018,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1306.67,1388.099,0.0327,0.9673,306.52,0.1771,0.9639,0.4831730769230769,14.857142857142858
ghum_wa_w019,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1388.42,1453.8,0.0235,0.9765,256.96,0.128,0.963,0.5428571428571428,15.555555555555555
ghum_wa_w020,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1454.38,1514.53,0.1333,0.8667,222.44,0.2051,0.9503,0.5650224215246636,6.5588235294117645
ghum_wa_w021,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1515.319,1584.56,0.05,0.95,337.95,0.1728,0.9461,0.48205128205128206,10.833333333333334
ghum_wa_w022,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1584.569,1645.819,0.0157,0.9843,332.08,0.192,0.9858,0.5427728613569321,17.842105263157894
ghum_wa_w023,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1646.42,1713.9,0.0361,0.9639,281.86,0.1737,0.9703,0.5772870662460567,11.321428571428571
ghum_wa_w024,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1714.76,1777.939,0.037,0.963,245.02,0.3337,0.9806,0.5891472868217055,11.727272727272727
ghum_wa_w025,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1779.4,1841.089,0.0473,0.9527,248.99,0.208,0.9534,0.62109375,15.058823529411764
ghum_wa_w026,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1842.28,1915.39,0.0311,0.9689,173.98,0.142,0.9648,0.6367924528301887,11.157894736842104
ghum_wa_w027,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,1915.989,1980.4,0.0398,0.9602,254.3,0.1422,0.9581,0.6336996336996337,10.11111111111111
