item_id,content,type,start_time,end_time,confidence,video_filename,tester_name
0,Firsthand,pronunciation,3.009,3.569,0.957,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
1,insights,pronunciation,3.569,4.13,0.995,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
2,for,pronunciation,4.13,4.21,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
3,those,pronunciation,4.21,4.409,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
4,who,pronunciation,4.409,4.449,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
5,rely,pronunciation,4.449,4.73,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
6,on,pronunciation,4.73,4.969,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
7,accessible,pronunciation,4.969,5.659,0.998,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
8,technology,pronunciation,5.659,5.88,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
9,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
10,curated,pronunciation,6.01,6.48,0.988,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
11,for,pronunciation,6.48,6.69,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
12,designers,pronunciation,6.69,7.05,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
13,and,pronunciation,7.05,7.25,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
14,developers,pronunciation,7.25,7.809,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
15,.,punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
16,OK,pronunciation,10.43,10.71,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
17,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
18,task,pronunciation,10.829,11.26,0.993,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
19,one,pronunciation,11.26,11.649,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
20,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
21,what,pronunciation,11.899,12.02,0.994,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
22,is,pronunciation,12.02,12.689,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
23,coercive,pronunciation,12.689,13.739,0.994,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
24,control,pronunciation,13.739,14.159,0.999,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
25,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
26,um,pronunciation,14.18,14.68,0.575,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
27,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
28,yeah,pronunciation,15.1,15.17,0.923,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
29,",",punctuation,,,,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
30,I,pronunciation,15.22,15.3,0.997,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum
